Group.1	X1	X10	X100	X101	X102	X103	X104	X105	X106	X107	X108	X109	X11	X110	X111	X112	X113	X114	X115	X116	X117	X118	X119	X12	X120	X121	X122	X123	X124	X125	X126	X127	X128	X129	X13	X130	X131	X132	X133	X134	X135	X136	X137	X138	X139	X14	X140	X15	X16	X17	X18	X19	X2	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X3	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X4	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X5	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X6	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X7	X70	X71	X72	X73	X74	X75	X76	X77	X78	X79	X8	X80	X81	X82	X83	X84	X85	X86	X87	X88	X89	X9	X90	X91	X92	X93	X94	X95	X96	X97	X98	X99
c:Apusomonadidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c:Bacillariophyceae	163	17	0	0	49	0	0	0	76	32	0	0	11	0	0	339	0	0	0	0	0	0	33	41	0	0	84	0	0	0	0	0	193	0	34	36	61	35	50	205	0	98	0	0	0	14	0	27	23	18	33	38	305	43	20	119	72	31	44	34	31	33	68	299	142	7	44	83	15	35	50	22	60	39	313	107	84	38	60	90	223	11	73	16	29	244	37	78	116	45	47	31	56	72	29	0	310	0	56	196	43	58	60	70	6	69	46	36	416	0	0	0	140	782	119	36	0	132	63	7	161	0	45	0	46	25	0	0	449	84	0	0	15	0	19	0	0	0	37	113
c:Bangiophyceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	4	0	0	4	0	13	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	7	0	230	0	0	0	0	0	0	24	0	5	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0
c:Bicoecea	147	104	1240	2006	2358	2406	3509	1247	2536	576	1027	1611	45	3260	1605	3081	1299	3322	2140	669	2484	608	959	75	1488	1340	1594	1226	1833	1632	614	327	364	711	34	1182	564	764	480	255	345	61	113	299	0	33	0	111	128	213	220	193	83	121	83	105	59	25	48	55	67	49	154	108	262	246	163	593	445	269	252	116	241	123	66	257	50	117	67	115	344	153	153	191	97	68	89	174	121	135	230	111	422	260	3	17	87	52	85	253	17	63	8	17	27	32	56	132	248	315	321	574	471	788	1562	1670	2051	376	83	145	512	604	19	622	374	48	652	1326	1076	83	964	2345	1327	1503	829	556	728	414	286	73
c:Bolidophyceae	0	0	0	0	0	0	19	32	0	4	0	0	0	10	15	0	0	0	37	0	48	17	25	0	47	42	47	39	48	0	0	30	8	0	0	35	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	30	20	0	12	21	0	0	0	0	10	0	14	0	0	0	42	18	0	3	11	0	0	0	0	16	0	0	0
c:Chlorodendrophyceae	9	70	0	0	0	0	0	0	0	43	0	0	20	0	0	0	0	0	0	0	0	0	0	0	267	293	0	0	0	0	0	0	64	70	0	10	111	171	0	11	0	51	0	0	0	0	0	0	30	0	40	17	12	0	329	707	143	661	101	217	59	0	54	0	60	92	14	22	10	40	91	167	49	70	0	18	24	24	0	24	22	25	129	156	138	0	118	106	155	187	0	64	56	26	69	93	16	50	28	322	177	100	42	32	0	25	30	38	8	0	0	0	0	37	0	91	0	810	123	0	118	0	0	0	0	0	0	0	0	106	20	138	26	418	96	0	54	0	0	152
c:Chlorophyceae	654	290	1878	727	2889	0	186	66	67	138	54	50	53	232	6	561	2151	4108	4725	5961	10147	16480	11918	34	7718	6048	13423	6445	15656	2700	122	28	222	78	31	0	241	160	139	113	191	300	0	96	0	178	0	181	358	318	469	169	1953	134	290	722	429	452	446	493	226	125	585	1310	696	826	435	752	273	270	509	277	524	345	694	585	260	376	283	611	533	678	617	742	821	1139	612	699	421	971	1025	398	261	117	252	64	1164	38	22	531	223	364	216	234	156	319	294	402	893	293	87	11	449	488	326	599	98	1063	948	18	398	27	454	95	177	826	118	391	929	942	443	2308	110	4607	1248	559	1184	344	749	947
c:Choanoflagellatea	942	206	0	45	0	72	0	0	0	0	0	21	108	158	0	0	0	0	0	39	36	86	0	101	133	0	46	51	17	59	0	0	0	0	59	71	77	0	17	20	0	237	60	68	0	113	0	137	57	115	85	48	221	120	233	298	386	145	151	136	105	31	85	298	82	74	42	147	58	63	105	64	162	87	326	154	93	158	136	122	183	77	132	321	128	338	141	219	319	528	619	295	1512	528	21	42	252	44	126	284	52	152	224	248	319	578	743	366	1245	16	31	16	0	147	110	196	30	188	275	47	38	0	107	60	0	63	0	143	0	665	51	26	60	38	0	55	0	0	35	48
c:Chrysophyceae	816	2123	3308	10830	2413	2105	1471	972	1130	234	767	428	969	1293	1362	5040	3382	13273	12725	4647	8940	4020	4483	1606	9037	8738	6399	9707	10706	10098	5161	4147	741	1584	1093	6982	5054	3237	4335	5437	3307	552	5997	4437	0	445	0	665	587	872	1147	667	1592	1555	1383	2012	2142	562	907	804	686	237	1443	907	980	1201	1129	1416	763	656	784	1031	837	661	1453	2015	751	585	490	418	1021	627	358	334	191	2222	281	186	162	433	545	188	615	357	42	106	1998	39	82	362	108	273	316	392	713	981	937	1376	1639	5935	2723	9411	7130	6384	6292	4456	4659	1694	1835	2130	1700	2170	231	1471	1284	198	2948	6963	7210	1736	9344	5355	7522	4438	4451	2653	8609	2516	1702	631
c:Colpodea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	11	0	0	0	0	0	63	9	0	0	0	0	0	32	3	0	21	6	0	0	0	0	3	0	0	5	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	9	23	0	0	0	0	144	0	66	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43
